basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.640172094,1.281602263,1.132078736,0.759346558,0.865800977,0.803074488,0.028669115,1,0.112903226
1350080,0.508448154,3.465250969,1.861518458,0.571027008,0.680480659,0.713844094,0.003483145,1.105263158,0.208333333
3140000,0.369836152,1.790131688,1.337958029,0.506206391,0.697849751,0.614686778,0.032979347,0.909090909,0.107142857
4105700,0.771811709,0.038013253,0.194969878,0.876990441,0.979334533,0.905607367,-0.20706822,1,0.063492063
4196800,0.680088848,1.188413978,1.090144017,0.752062258,0.868725359,0.827424846,0.053266238,1,0.056603774
8109700,0.524208635,0.815437257,0.903015646,0.633508534,0.782994449,0.726618824,0.024249252,1.090909091,0.391304348
8175000,0.481079817,1.877351522,1.370164779,0.483773523,0.575953066,0.705614833,0.00054224,1,0.326923077
9210500,0.951272767,0.014837468,0.121809146,0.938390548,0.983568132,0.976204639,-0.040601842,0.777777778,0.37037037
10336645,0.851100519,2.651171923,1.628241973,0.893146201,0.931557477,0.922706396,0.014430231,1.153846154,0.148148148
12010000,0.55737865,65.31238556,8.081607857,0.56122737,0.640319407,0.756680769,-0.040585611,1.117647059,0.130434783
,0.633539734,7.843459588,1.772150852,0.697567883,0.800658381,0.795246303,-0.01306361,1.015453415,0.191565598
