basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.639122695,1.285339952,1.133728341,0.679557931,0.748735964,0.801178629,-0.003780779,1.115384615,0.241935484
1350080,0.486719906,3.618426561,1.902216224,0.504490978,0.602030396,0.705327067,-0.009807349,0.947368421,0.208333333
3140000,0.343779683,1.864151359,1.365339283,0.514385166,0.738703609,0.603980505,0.053502452,1,0.25
4105700,0.777928442,0.036994282,0.192338977,0.883770491,1.011062622,0.908773386,-0.193591163,1.037037037,0.126984127
4196800,0.663611531,1.249624252,1.117865937,0.77652254,0.902397931,0.819754398,0.039442845,0.9,0.113207547
8109700,0.559325606,0.755251825,0.869052257,0.650161825,0.760443807,0.748031271,0.008436142,1,0.152173913
8175000,0.450756252,1.987056255,1.409629829,0.424719315,0.523084104,0.692629571,-0.015290424,0.909090909,0.057692308
9210500,0.968061261,0.009725363,0.098617255,0.952898947,0.969299316,0.984306893,0.023949306,0.888888889,0.444444444
10336645,0.75008209,4.449816227,2.109458752,0.711837136,0.752541304,0.875798878,-0.041822985,0.923076923,0.333333333
12010000,0.506623089,72.80178833,8.5323964,0.481488225,0.577591717,0.734577715,-0.091305807,1,0.391304348
,0.614601056,8.805817441,1.873064326,0.657983255,0.758589077,0.787435831,-0.023026776,0.972084679,0.231940884
