basin,4,8,16,32,64,128,256,512
1139000,-0.263556838,-0.274942756,-0.261530519,-0.095146298,0.35332787,0.603454411,0.652125955,0.646736175
1350080,-0.094856024,-0.099720716,-0.093992233,-0.026351094,0.293107212,0.478443623,0.497293234,0.512914985
3140000,-0.018131971,-0.021591306,-0.017540336,-0.008987069,0.266327441,0.316791177,0.392634213,0.379555583
4105700,-1.303916931,-1.422353983,-1.283118486,-0.037776828,0.13722074,0.725298584,0.760069028,0.825294346
4196800,-0.011827111,-0.014279246,-0.011409998,-0.067576766,0.447693169,0.641205043,0.665159017,0.684836805
8109700,-0.075673699,-0.067221761,-0.077250004,-0.002753973,0.349366546,0.511563003,0.487020493,0.545784414
8175000,-0.031584859,-0.027833939,-0.032286167,-0.000600457,0.268475711,0.490972877,0.52878356,0.496322751
9210500,-0.177332878,-0.147136927,-0.183074474,-0.011452317,0.776376799,0.96315179,0.963659372,0.954879515
10336645,-0.13771069,-0.141376734,-0.13705492,-0.193739772,0.353238046,0.818989217,0.833463281,0.839945182
12010000,-0.351615906,-0.353640199,-0.351251483,-0.314872503,0.108672142,0.572730809,0.618473977,0.585552901
,-0.246620691,-0.257009757,-0.244850862,-0.075925708,0.335380568,0.612260053,0.639868213,0.647182266
