basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.645351201,1.263155818,1.12390205,0.724187729,0.807516456,0.803541286,-0.017651133,1.038461538,0.080645161
1350080,0.514255911,3.4243083,1.850488665,0.56605034,0.67008692,0.718864567,-0.011451515,0.947368421,0.166666667
3140000,0.387182355,1.740855694,1.319414906,0.467752329,0.627480149,0.622725889,0.024137579,1,0.071428571
4105700,0.733592808,0.044380035,0.210665695,0.859540505,1.022706985,0.91060228,-0.288160145,1.074074074,0.126984127
4196800,0.676620185,1.201299429,1.09603806,0.817430777,0.936810672,0.829565405,-0.007552772,0.95,0.018867925
8109700,0.515913844,0.829653263,0.910853041,0.675685691,0.843224883,0.727709933,-0.017440608,1,0.130434783
8175000,0.521245569,1.732039809,1.316069834,0.508336027,0.618743181,0.731088645,-0.024970897,0.909090909,0.076923077
9210500,0.96013749,0.012138154,0.110173292,0.8693285,0.956516981,0.984502363,-0.091237135,1,0.222222222
10336645,0.829901636,3.028620243,1.740293149,0.810331426,0.84338659,0.914367773,-0.03359266,1,0.074074074
12010000,0.598398626,59.25955963,7.698023099,0.591206668,0.659974754,0.785003637,-0.046902783,1,0.326086957
,0.638259963,7.253601038,1.737592179,0.688984999,0.798644757,0.802797178,-0.051482207,0.991899494,0.129433356
