basin,10,20,30,40,50,60,70,80,90,100
1139000,0.589639187,0.630153418,0.647159338,0.635523319,0.612940073,0.623249233,0.637521893,0.619314492,0.637009621,0.613806903
1350080,0.510793477,0.506791353,0.523072124,0.486557961,0.441325665,0.482910275,0.486754,0.466333568,0.479491293,0.449907959
3140000,0.276717007,0.362549782,0.380687654,0.397535622,0.359568,0.368344963,0.373980641,0.309655249,0.340547323,0.366331697
4105700,0.732130766,0.818439156,0.772363394,0.772605956,0.738265008,0.801107749,0.782445058,0.787784949,0.794740498,0.803954825
4196800,0.64557004,0.677785158,0.669546396,0.702155024,0.666408032,0.696755469,0.686104506,0.541365057,0.6665245,0.645056874
8109700,0.520328134,0.523005784,0.509943068,0.497664869,0.502119035,0.486015081,0.547464162,0.414048135,0.453757644,0.549259901
8175000,0.504191071,0.516837806,0.516379684,0.532865524,0.489575386,0.482270122,0.549086899,0.51962468,0.374071956,0.429396808
9210500,0.947884437,0.960933954,0.964589726,0.961686965,0.924081653,0.940450519,0.969092716,0.932993591,0.959533095,0.942775719
10336645,0.822733283,0.840162784,0.838010728,0.723970562,0.762830436,0.812341943,0.764462382,0.756471127,0.787430853,0.787028715
12010000,0.509173393,0.58624649,0.603015006,0.559981734,0.619882017,0.629496723,0.628293753,0.625275791,0.620534718,0.61270833
,0.6059,0.6423,0.6425,0.6271,0.6117,0.6323,0.6425,0.5973,0.6114,0.6200
