basin,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
1139000,0.652271539,0.629953355,0.643008858,0.609330654,0.422440767,0.490088999,0.304378748,-2.704823494,-0.260842204,-0.253895521
1350080,0.486211061,0.495607257,0.505174547,0.446690083,0.319192648,0.331537962,0.222506821,-1.148822308,-0.093706012,-0.090704918
3140000,0.390683711,0.366175175,0.329051495,0.352979839,0.281420529,0.260132313,0.210623682,-2.480445862,-0.01742506,-0.015165091
4105700,0.732983738,0.813034847,0.729766965,0.609298289,0.594474077,0.296792865,-0.718803287,-0.493185759,-1.280569315,-1.203169346
4196800,0.692294836,0.680751741,0.658994466,0.633674443,0.41155988,0.521761268,0.254042268,-2.364857435,-0.01128304,-0.009870648
8109700,0.552482098,0.536105603,0.518692851,0.444524229,0.409481347,0.35473901,0.252513349,-2.427408218,-0.07731235,-0.08356297
8175000,0.52947098,0.50441137,0.459657252,0.454581261,0.315530181,0.21536684,0.199689925,-0.453249454,-0.032346249,-0.034999728
9210500,0.967268124,0.932909474,0.877630435,0.600060135,0.669707507,0.168628216,-0.004630208,-3.333595753,-0.182776928,-0.213154078
10336645,0.78704837,0.764796913,0.836226612,0.765944079,0.63304922,0.456192017,0.100524664,-0.301454902,-0.137094498,-0.134426475
12010000,0.584625661,0.463516176,0.479881525,0.378179789,-0.019786,0.152061164,-0.021928072,-0.060382843,-0.350968838,-0.349872231
,0.638,0.619,0.604,0.530,0.404,0.325,0.080,-1.577,-0.244,-0.239
