basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,0.649249017,1.249272943,1.117708791,0.699674979,0.771934628,0.806929223,-0.025712773,1.038461538,0.096774194
1350080,0.519588888,3.386713028,1.840302428,0.580010237,0.685424089,0.721740428,-0.001232227,1,0.208333333
3140000,0.393814743,1.722014785,1.31225561,0.469637299,0.622491539,0.627583885,0.004570581,1.045454545,0.089285714
4105700,0.695700556,0.050692406,0.22514974,0.839241976,0.976031005,0.90836573,-0.353339821,1.037037037,0.095238095
4196800,0.680157959,1.18815732,1.090026293,0.756069152,0.832008958,0.824818772,-0.010785866,1,0.018867925
8109700,0.514374852,0.832290888,0.91229978,0.66126665,0.814945877,0.723172869,-0.013485572,1,0.152173913
8175000,0.506079614,1.786907196,1.336752481,0.494717827,0.578231394,0.726787853,-0.008482036,0.909090909,0.173076923
9210500,0.961804405,0.011630579,0.107845162,0.881338046,0.91650629,0.985058152,-0.061933663,0.888888889,0.259259259
10336645,0.835044846,2.937045097,1.713780936,0.828118914,0.866787136,0.915829007,-0.035955992,1.076923077,0.185185185
12010000,0.61393556,56.96695709,7.547645798,0.590675376,0.663648307,0.798743551,-0.076190427,1,0.043478261
,0.636975044,7.013168133,1.720376702,0.680075046,0.772800922,0.803902947,-0.05825478,0.9995856,0.13216728
