basin,NSE,MSE,RMSE,KGE,Alpha-NSE,Pearson-r,Beta-NSE,Peak-Timing,Missed-Peaks
1139000,-0.244100094,4.431122303,2.105023112,-0.515949514,1.19E-07,0.018176475,-0.494064957,1.730769231,0.983870968
1350080,-0.086588621,7.660030365,2.767675986,-0.467438859,7.93E-08,0.068454173,-0.294259489,1.473684211,0.958333333
3140000,-0.01277566,2.87703228,1.696181677,-0.391714431,9.80E-08,0.057105813,-0.113029346,1.818181818,1
4105700,-1.107946634,0.35115698,0.592584998,-0.385544849,3.93E-07,0.12249777,-1.052590609,2.111111111,0.984126984
4196800,-0.008071542,3.744809389,1.935150999,-0.472734058,9.30E-08,-0.061986978,-0.089841247,2.3,1
8109700,-0.091766477,1.871129036,1.367892187,-1.046422858,9.00E-08,-0.113145777,0.302929908,2.545454545,0.934782609
8175000,-0.038763285,3.758042097,1.938567022,-0.953685597,5.14E-08,-0.149331809,0.196884096,2.545454545,1
9210500,-0.237326264,0.376766473,0.61381306,-0.973485552,2.52E-07,-0.571173156,0.487161011,2.777777778,1
10336645,-0.131374478,20.14424896,4.488234504,-0.784944451,5.35E-08,-0.30657433,-0.362455964,2.615384615,1
12010000,-0.348066449,198.9181976,14.10383627,-0.551781177,1.48E-08,0.24238557,-0.589971602,2.294117647,1
,-0.23067795,24.41325355,3.160895982,-0.654370134,1.24362E-07,-0.069359225,-0.20092382,2.22119355,0.986111389
