531,Base Transformer,Linear Expansion,Manual Expansion,Transformer Encoder,LSTM
1,-0.049656868,0.188323917,-0.028394818,-0.550689459,-3.936056137
2,0.014732003,0.376647834,-0.01383996,-0.224771976,-0.179480076
3,0.024021685,0.564971751,0.025167823,-0.176066041,0.065961182
4,0.03649497,0.753295669,0.052437484,-0.087758303,0.089715302
5,0.052679658,0.941619586,0.056347847,0.082799733,0.113673389
6,0.054341435,1.129943503,0.064221144,0.096084297,0.11606878
7,0.060307145,1.31826742,0.066923022,0.099438548,0.123276234
8,0.065146029,1.506591337,0.084461868,0.110510826,0.148452103
9,0.073321819,1.694915254,0.086559117,0.13136369,0.185734868
10,0.079615057,1.883239171,0.093036652,0.14295423,0.190271854
11,0.099749684,2.071563089,0.101983368,0.146859825,0.210113585
12,0.103756607,2.259887006,0.109135628,0.170648813,0.237795293
13,0.10889411,2.448210923,0.124020278,0.180092335,0.239028335
14,0.111465752,2.63653484,0.127548158,0.182070017,0.265137017
15,0.114887595,2.824858757,0.138520002,0.208985567,0.290855706
16,0.115389884,3.013182674,0.143942177,0.256293833,0.299356163
17,0.116541028,3.201506591,0.149895549,0.265597045,0.311517835
18,0.122446477,3.389830508,0.153630674,0.27397424,0.315790057
19,0.12662679,3.578154426,0.159523845,0.277230024,0.320134401
20,0.131485343,3.766478343,0.161287963,0.279582143,0.328334928
21,0.132958889,3.95480226,0.163593948,0.293457627,0.328453064
22,0.136553228,4.143126177,0.166325629,0.303485096,0.329893351
23,0.136873484,4.331450094,0.166920125,0.311805844,0.330138743
24,0.142305315,4.519774011,0.170741796,0.329508901,0.35766077
25,0.142567933,4.708097928,0.172133446,0.333646715,0.362908363
26,0.142844319,4.896421846,0.179781139,0.337829053,0.364092231
27,0.146022677,5.084745763,0.18156004,0.352763832,0.379206657
28,0.150338888,5.27306968,0.184138834,0.361037552,0.380997896
29,0.150563538,5.461393597,0.185029864,0.364457071,0.383229136
30,0.153205693,5.649717514,0.187456191,0.372938275,0.38521415
31,0.156068802,5.838041431,0.188426197,0.377375543,0.385758996
32,0.156133056,6.026365348,0.188835979,0.381755888,0.389610589
33,0.158925056,6.214689266,0.189991236,0.381999969,0.391550541
34,0.161779881,6.403013183,0.191880763,0.396580935,0.394664884
35,0.162655771,6.5913371,0.19234699,0.400436401,0.394904792
36,0.169295549,6.779661017,0.196469069,0.400462925,0.396605551
37,0.173734069,6.967984934,0.196856618,0.402906775,0.398060501
38,0.181382,7.156308851,0.196883202,0.406906247,0.399242997
39,0.186732531,7.344632768,0.202998757,0.407250643,0.411834419
40,0.189405739,7.532956685,0.207992792,0.414321125,0.414577901
41,0.189472079,7.721280603,0.20993191,0.414868712,0.418297589
42,0.191511214,7.90960452,0.215335071,0.420814037,0.418449342
43,0.193180263,8.097928437,0.217690051,0.423303187,0.424270988
44,0.198054969,8.286252354,0.218931615,0.423817098,0.429832995
45,0.199726582,8.474576271,0.229353249,0.423821151,0.431918263
46,0.201463044,8.662900188,0.231495082,0.426255882,0.433043659
47,0.203674853,8.851224105,0.231547594,0.426326931,0.447982609
48,0.204777241,9.039548023,0.233019829,0.42799598,0.450082302
49,0.2106148,9.22787194,0.234497428,0.428731978,0.453907192
50,0.211161613,9.416195857,0.235025227,0.442932367,0.454567432
51,0.219799757,9.604519774,0.237552702,0.444336355,0.460021555
52,0.221098185,9.792843691,0.238685191,0.446798921,0.461952507
53,0.221490324,9.981167608,0.241141975,0.449344873,0.461987913
54,0.222736597,10.16949153,0.242570698,0.45002991,0.472273409
55,0.223308206,10.35781544,0.242720544,0.460706055,0.473450959
56,0.227665126,10.54613936,0.2443102,0.462987125,0.479430974
57,0.228192568,10.73446328,0.245884895,0.46320492,0.479815602
58,0.231448412,10.92278719,0.247347474,0.46789366,0.480743885
59,0.234608293,11.11111111,0.25282979,0.46865803,0.485285044
60,0.238039255,11.29943503,0.256148994,0.470094502,0.486993313
61,0.243782401,11.48775895,0.258291543,0.471773148,0.48741442
62,0.244593322,11.67608286,0.26029104,0.474443793,0.489817083
63,0.245146871,11.86440678,0.263587654,0.476649225,0.494362056
64,0.245297611,12.0527307,0.26521188,0.479845524,0.494818807
65,0.246765196,12.24105461,0.265412688,0.483053327,0.495132804
66,0.247440636,12.42937853,0.265764236,0.48366189,0.495874107
67,0.25078702,12.61770245,0.266367018,0.485310078,0.496509731
68,0.25246942,12.80602637,0.270887136,0.486758113,0.501123786
69,0.254747212,12.99435028,0.271419883,0.492272854,0.504873842
70,0.255850792,13.1826742,0.271790624,0.49259907,0.513397962
71,0.26198262,13.37099812,0.275641024,0.49516809,0.51528874
72,0.265026331,13.55932203,0.279617488,0.503175586,0.515626818
73,0.270343065,13.74764595,0.279734313,0.504471183,0.516193062
74,0.27124691,13.93596987,0.281461954,0.506721675,0.516586095
75,0.272171497,14.12429379,0.286561489,0.507744461,0.51859495
76,0.275995195,14.3126177,0.287001252,0.509988219,0.520032585
77,0.282431126,14.50094162,0.28703469,0.511558384,0.521946907
78,0.282861054,14.68926554,0.28742063,0.514665961,0.526634097
79,0.284435153,14.87758945,0.287542462,0.515341938,0.526734024
80,0.285850883,15.06591337,0.288975179,0.51808098,0.52824527
81,0.286357224,15.25423729,0.291269541,0.519028217,0.530394375
82,0.286563098,15.44256121,0.292085707,0.519990325,0.530680805
83,0.287525415,15.63088512,0.292629719,0.520987809,0.531584263
84,0.287863374,15.81920904,0.292893648,0.529122829,0.531988174
85,0.288540781,16.00753296,0.294118881,0.529856384,0.532381684
86,0.28922224,16.19585687,0.29612112,0.531074286,0.534363508
87,0.289420307,16.38418079,0.296133339,0.531930059,0.534925401
88,0.290893495,16.57250471,0.296239018,0.532839209,0.536744028
89,0.29179424,16.76082863,0.300552011,0.537157655,0.536973238
90,0.292094469,16.94915254,0.300651193,0.538111091,0.538712591
