531,100seq-75,LSTM,Transformer Encoder,Full Transformer
172,0.429504991,0.641740322,0.623857945,32.39171375
173,0.430133164,0.642922193,0.625190765,32.58003766
174,0.433637142,0.643090695,0.626183242,32.76836158
175,0.435786366,0.643188357,0.627669096,32.9566855
176,0.436827004,0.643330306,0.628303558,33.14500942
177,0.43904686,0.644226789,0.628438294,33.33333333
178,0.441515923,0.644546092,0.62962544,33.52165725
179,0.441707432,0.644935817,0.630683929,33.70998117
180,0.442343652,0.645104319,0.63102597,33.89830508
181,0.444193602,0.646398127,0.632235557,34.086629
182,0.444337487,0.647530109,0.632393003,34.27495292
183,0.449942708,0.647640526,0.632907897,34.46327684
184,0.450004876,0.648123533,0.634442031,34.65160075
185,0.450133324,0.649114817,0.635535002,34.83992467
186,0.450673878,0.650244504,0.637694776,35.02824859
187,0.450823843,0.651691318,0.638030589,35.2165725
188,0.451875091,0.652055293,0.638439357,35.40489642
189,0.453835845,0.652296841,0.638884664,35.59322034
190,0.455057561,0.652429521,0.639542639,35.78154426
191,0.455230534,0.653516978,0.639614403,35.96986817
192,0.456757009,0.654365689,0.640278131,36.15819209
193,0.456809223,0.654396832,0.641236216,36.34651601
194,0.460327804,0.654636234,0.641904473,36.53483992
195,0.462781966,0.655743599,0.643707007,36.72316384
196,0.462951779,0.656112254,0.644842058,36.91148776
197,0.463461757,0.656748861,0.646780491,37.09981168
198,0.465537369,0.656898439,0.647672504,37.28813559
199,0.465882957,0.656957477,0.648045927,37.47645951
200,0.466638625,0.658454865,0.649646163,37.66478343
201,0.46892333,0.659348577,0.649782032,37.85310734
202,0.47444874,0.659756243,0.649870574,38.04143126
203,0.476836085,0.660432756,0.64995563,38.22975518
204,0.477912784,0.661380768,0.650875509,38.4180791
205,0.479084492,0.662141144,0.651002973,38.60640301
206,0.485073745,0.663001597,0.651896596,38.79472693
207,0.485809982,0.664801478,0.65331614,38.98305085
208,0.486265481,0.665071279,0.653888941,39.17137476
209,0.4866997,0.665267825,0.654367566,39.35969868
210,0.488819957,0.665563405,0.654381067,39.5480226
211,0.488854825,0.666517079,0.654673278,39.73634652
212,0.489055932,0.666703403,0.654855877,39.92467043
213,0.490172684,0.667037189,0.655364454,40.11299435
214,0.492793977,0.667111725,0.655588686,40.30131827
215,0.494196534,0.667368591,0.655968457,40.48964218
216,0.494961441,0.667591959,0.656776905,40.6779661
217,0.495483935,0.667809606,0.656862259,40.86629002
218,0.495784581,0.670270264,0.65745762,41.05461394
219,0.496190846,0.670610368,0.657466382,41.24293785
220,0.501117885,0.670975178,0.657488406,41.43126177
221,0.504095525,0.67100665,0.657860309,41.61958569
222,0.505281925,0.671212435,0.658492625,41.8079096
223,0.505591094,0.671755642,0.659428477,41.99623352
224,0.511009246,0.674064815,0.659778923,42.18455744
225,0.511773854,0.674317032,0.659903467,42.37288136
226,0.515406162,0.674638331,0.660435349,42.56120527
227,0.518330663,0.675276101,0.662925959,42.74952919
228,0.519072443,0.676710576,0.663069338,42.93785311
229,0.51921615,0.677531511,0.663794041,43.12617702
230,0.519830942,0.677625597,0.664758086,43.31450094
231,0.521106809,0.678340495,0.66501081,43.50282486
232,0.521374404,0.67877841,0.665224969,43.69114878
233,0.521717966,0.679871589,0.665334374,43.87947269
234,0.522225887,0.680303782,0.665448904,44.06779661
235,0.523381978,0.681197405,0.666422576,44.25612053
236,0.524261028,0.682646543,0.667375147,44.44444444
237,0.524302274,0.685013622,0.668049663,44.63276836
238,0.526496559,0.685211569,0.668224901,44.82109228
239,0.52663365,0.685325831,0.669530123,45.0094162
240,0.526818007,0.685727626,0.66970852,45.19774011
241,0.526941001,0.686016172,0.669735968,45.38606403
242,0.527067095,0.686194658,0.670032769,45.57438795
243,0.529010355,0.686236233,0.670227587,45.76271186
244,0.530499876,0.687365949,0.670627087,45.95103578
245,0.531247824,0.68737337,0.67102772,46.1393597
246,0.532681733,0.687378019,0.672006279,46.32768362
247,0.535521537,0.688533783,0.672612756,46.51600753
248,0.535807014,0.688565701,0.672746897,46.70433145
249,0.536056072,0.689021587,0.672827244,46.89265537
250,0.537225842,0.689327985,0.673784107,47.08097928
251,0.537696928,0.689593077,0.674594015,47.2693032
252,0.541318715,0.690027416,0.675773263,47.45762712
253,0.541456014,0.690600157,0.676227391,47.64595104
254,0.542750686,0.692058623,0.676298738,47.83427495
255,0.543235302,0.692771465,0.676834047,48.02259887
256,0.544323415,0.693886757,0.677025706,48.21092279
257,0.54641664,0.694991916,0.677211046,48.3992467
258,0.546786785,0.695592225,0.677903414,48.58757062
259,0.546989769,0.695964217,0.678553015,48.77589454
260,0.548102081,0.696330637,0.678672761,48.96421846
261,0.549318284,0.696510673,0.679429144,49.15254237
262,0.549529314,0.696511805,0.679462165,49.34086629
263,0.55385077,0.69671002,0.680661261,49.52919021
264,0.555491418,0.697011083,0.680761099,49.71751412
265,0.556460083,0.697430551,0.681631863,49.90583804
266,0.556478173,0.698864609,0.682231903,50.09416196
267,0.560569465,0.699478209,0.68319875,50.28248588
268,0.56203711,0.701991588,0.683366418,50.47080979
269,0.565147817,0.702562094,0.683713853,50.65913371
270,0.565862179,0.702829808,0.68466574,50.84745763
271,0.567115277,0.703319937,0.684807509,51.03578154
272,0.568203241,0.704326123,0.684891105,51.22410546
273,0.568405509,0.704458475,0.685891867,51.41242938
274,0.569298148,0.704482764,0.686798036,51.6007533
275,0.56975615,0.705957681,0.687672347,51.78907721
276,0.569951713,0.706761479,0.688318878,51.97740113
277,0.570038736,0.706778407,0.688562572,52.16572505
278,0.57253474,0.707049608,0.688807786,52.35404896
279,0.574308783,0.707714736,0.688880712,52.54237288
280,0.575069815,0.707910419,0.689089715,52.7306968
281,0.575261831,0.708929837,0.689096242,52.91902072
282,0.577435255,0.709407449,0.68930456,53.10734463
283,0.577658504,0.709510863,0.689731419,53.29566855
284,0.578082383,0.709734946,0.689832687,53.48399247
285,0.578345865,0.709862292,0.690220684,53.67231638
286,0.579647839,0.710397035,0.690511286,53.8606403
287,0.580237508,0.710877627,0.690637708,54.04896422
288,0.581114084,0.714674801,0.690803647,54.23728814
289,0.583966225,0.716304094,0.692494929,54.42561205
290,0.584283203,0.716332823,0.692602485,54.61393597
291,0.584953666,0.71668151,0.695009172,54.80225989
292,0.585913479,0.716846734,0.695162803,54.9905838
293,0.59017843,0.717651248,0.695311666,55.17890772
294,0.591218948,0.71875754,0.695775777,55.36723164
295,0.591914743,0.719777524,0.696137309,55.55555556
296,0.592124403,0.720651656,0.696467489,55.74387947
297,0.592728943,0.721534193,0.696589857,55.93220339
298,0.592790276,0.721807271,0.697381675,56.12052731
299,0.594565034,0.722179025,0.698363185,56.30885122
300,0.594696939,0.722328186,0.698644876,56.49717514
301,0.596866846,0.723055631,0.70142749,56.68549906
302,0.597944856,0.723712891,0.701484174,56.87382298
303,0.599334061,0.7239739,0.70162937,57.06214689
304,0.604876846,0.724536449,0.702444285,57.25047081
305,0.605334073,0.724732399,0.703263044,57.43879473
306,0.60994041,0.72500658,0.704916388,57.62711864
307,0.610805571,0.725614458,0.705223203,57.81544256
308,0.611996055,0.725626111,0.705387712,58.00376648
309,0.61386627,0.7264117,0.706588417,58.1920904
310,0.61407584,0.726792961,0.708559066,58.38041431
311,0.614364058,0.726828635,0.708879948,58.56873823
312,0.614450127,0.727647752,0.709940821,58.75706215
313,0.616761923,0.728735179,0.710201979,58.94538606
314,0.618980706,0.729109645,0.710969925,59.13370998
315,0.619728982,0.729334921,0.711381346,59.3220339
316,0.620423108,0.729344308,0.712426454,59.51035782
317,0.621297359,0.729359776,0.712861717,59.69868173
318,0.623852313,0.730830401,0.712950379,59.88700565
319,0.627447367,0.730991334,0.713897765,60.07532957
320,0.628100991,0.7311607,0.714660317,60.26365348
321,0.632477969,0.731665701,0.717112303,60.4519774
322,0.633195102,0.732103258,0.717529833,60.64030132
323,0.633378029,0.732113928,0.717704147,60.82862524
324,0.63360253,0.733557224,0.717961073,61.01694915
325,0.634199142,0.735313028,0.718186319,61.20527307
326,0.63443622,0.73632583,0.718213171,61.39359699
327,0.635216743,0.737236351,0.718528867,61.5819209
328,0.63727507,0.737305731,0.718666375,61.77024482
329,0.63841182,0.73746711,0.719738364,61.95856874
330,0.638486594,0.738499075,0.720024437,62.14689266
331,0.639903367,0.739220917,0.72058022,62.33521657
332,0.641410798,0.739641666,0.720997959,62.52354049
333,0.641647518,0.740228444,0.722005576,62.71186441
334,0.642219752,0.740602374,0.722735107,62.90018832
335,0.642232716,0.740634441,0.723189265,63.08851224
336,0.643857121,0.741675228,0.7233904,63.27683616
337,0.644237816,0.742588937,0.723537356,63.46516008
338,0.644480079,0.742963582,0.724345028,63.65348399
339,0.646950275,0.743323952,0.724940479,63.84180791
340,0.647307575,0.744603187,0.725262493,64.03013183
341,0.648278832,0.74525854,0.725684643,64.21845574
342,0.649294347,0.745470971,0.72789824,64.40677966
343,0.651324689,0.745537728,0.727989018,64.59510358
344,0.651464313,0.745757639,0.728067309,64.7834275
345,0.652664095,0.74611336,0.728918254,64.97175141
346,0.653861403,0.746728063,0.729006439,65.16007533
347,0.654355675,0.746777117,0.729236335,65.34839925
348,0.655375868,0.746972233,0.729461998,65.53672316
349,0.655454487,0.747303724,0.730322659,65.72504708
350,0.655605853,0.747742653,0.731121391,65.913371
351,0.660034388,0.747795314,0.731447577,66.10169492
352,0.660127282,0.74784559,0.731796265,66.29001883
353,0.661150903,0.748010397,0.73234123,66.47834275
354,0.66136539,0.748388827,0.732377261,66.66666667
355,0.662915021,0.749719113,0.732750773,66.85499058
356,0.662978262,0.750198677,0.734611303,67.0433145
357,0.664332002,0.751611784,0.736047685,67.23163842
358,0.668431848,0.753253877,0.736855835,67.41996234
359,0.668729752,0.753758326,0.737372905,67.60828625
360,0.669035703,0.754268482,0.737685084,67.79661017
361,0.670672059,0.754304245,0.737914681,67.98493409
362,0.671294361,0.755173355,0.738779902,68.173258
363,0.671436787,0.755336419,0.740726531,68.36158192
364,0.676315367,0.755499095,0.740873098,68.54990584
365,0.677561492,0.755566627,0.742257416,68.73822976
366,0.680911243,0.7562332,0.742836416,68.92655367
367,0.682780564,0.756675526,0.742861301,69.11487759
368,0.683572263,0.75694187,0.745307088,69.30320151
369,0.686560184,0.757056445,0.746318251,69.49152542
370,0.686869264,0.757178634,0.747273982,69.67984934
371,0.687658012,0.757694975,0.74807018,69.86817326
372,0.689893216,0.758308798,0.748126566,70.05649718
373,0.690495044,0.759081766,0.748317152,70.24482109
374,0.692980766,0.759196699,0.748764008,70.43314501
375,0.694236994,0.759562328,0.750184372,70.62146893
376,0.695552409,0.760393426,0.750763401,70.80979284
377,0.6971066,0.761007234,0.750899196,70.99811676
378,0.699099183,0.761739761,0.75210017,71.18644068
379,0.700663954,0.762751222,0.752603263,71.3747646
380,0.704675138,0.762898713,0.753124893,71.56308851
381,0.705645919,0.763211042,0.753200814,71.75141243
382,0.706452489,0.763312787,0.753445342,71.93973635
383,0.706478715,0.763475642,0.753593922,72.12806026
384,0.707715333,0.764523908,0.753986657,72.31638418
385,0.710234284,0.766081125,0.754088998,72.5047081
386,0.711820722,0.76633957,0.755347535,72.69303202
387,0.712752789,0.766370624,0.755944833,72.88135593
388,0.714601278,0.76682432,0.756089583,73.06967985
389,0.714661479,0.767197073,0.756212607,73.25800377
390,0.715004385,0.768836543,0.756344527,73.44632768
391,0.716465861,0.769388601,0.756680861,73.6346516
392,0.717693329,0.769506693,0.757414147,73.82297552
393,0.721016884,0.769593686,0.75768128,74.01129944
394,0.721387833,0.769819945,0.758434042,74.19962335
395,0.723671407,0.769953951,0.75907065,74.38794727
396,0.724310607,0.772314221,0.759356529,74.57627119
397,0.72456041,0.772741377,0.759412691,74.7645951
398,0.727019131,0.773295492,0.759489954,74.95291902
399,0.72881496,0.773535371,0.76023154,75.14124294
400,0.738745064,0.775494665,0.760682777,75.32956685
401,0.739126951,0.77556172,0.76078485,75.51789077
402,0.740034014,0.775617108,0.761876494,75.70621469
403,0.741847157,0.776492178,0.764305755,75.89453861
404,0.742782384,0.776702404,0.765095994,76.08286252
405,0.742939949,0.776848018,0.765112668,76.27118644
406,0.74641794,0.77730988,0.765672982,76.45951036
407,0.748400122,0.777450114,0.766447559,76.64783427
408,0.751312122,0.777901366,0.767011136,76.83615819
409,0.751799762,0.778050303,0.76729086,77.02448211
410,0.752278849,0.778090119,0.767515004,77.21280603
411,0.753838271,0.778698117,0.768885911,77.40112994
412,0.754964918,0.778818235,0.769695073,77.58945386
413,0.757855207,0.779540524,0.770107478,77.77777778
414,0.758287519,0.780635923,0.770114154,77.96610169
415,0.761367455,0.78075105,0.771489456,78.15442561
416,0.763412163,0.781547755,0.772348419,78.34274953
417,0.770293057,0.781914398,0.772628963,78.53107345
418,0.773610055,0.78197816,0.772779271,78.71939736
419,0.776876345,0.782213822,0.7728661,78.90772128
420,0.7783878,0.782475322,0.77300261,79.0960452
421,0.779609203,0.782734364,0.775508732,79.28436911
422,0.781208441,0.784490883,0.776734963,79.47269303
423,0.781539559,0.784855887,0.776765451,79.66101695
424,0.783068374,0.785980076,0.777774617,79.84934087
425,0.784625262,0.786175057,0.779624522,80.03766478
426,0.78582418,0.786655575,0.780785143,80.2259887
427,0.786022335,0.786934897,0.781271473,80.41431262
428,0.788701117,0.787201524,0.781415969,80.60263653
429,0.788942665,0.787870094,0.781613767,80.79096045
430,0.789965436,0.787905082,0.781814486,80.97928437
431,0.792155638,0.788670108,0.782208204,81.16760829
432,0.793673098,0.788769141,0.783276394,81.3559322
433,0.796632499,0.788982406,0.783364356,81.54425612
434,0.803607598,0.789033905,0.784366637,81.73258004
435,0.812036216,0.789157212,0.7861716,81.92090395
436,0.813153103,0.789489731,0.786892325,82.10922787
437,0.817463368,0.789606512,0.78794232,82.29755179
438,0.81793955,0.789963529,0.788979068,82.48587571
439,0.820213765,0.789966509,0.789093509,82.67419962
440,0.822603285,0.790854856,0.78917557,82.86252354
441,0.832202792,0.791423067,0.789206028,83.05084746
442,0.835432276,0.792241693,0.789465547,83.23917137
443,0.838155076,0.792585954,0.789493158,83.42749529
444,0.840487346,0.793741316,0.790561751,83.61581921
445,0.841188163,0.793772355,0.790611565,83.80414313
446,0.844245464,0.793864146,0.790700018,83.99246704
447,0.844320774,0.794655621,0.792125732,84.18079096
448,0.845628977,0.795617506,0.792187303,84.36911488
449,0.848378077,0.796475589,0.792529032,84.55743879
450,0.850695238,0.79923372,0.793726355,84.74576271
451,0.851457298,0.799865991,0.795007125,84.93408663
452,0.854948029,0.800988019,0.795143232,85.12241055
453,0.85596998,0.801826119,0.795164108,85.31073446
454,0.863260314,0.802010715,0.796042144,85.49905838
455,0.866600811,0.802369416,0.796079576,85.6873823
456,0.880400151,0.803271055,0.796095937,85.87570621
457,0.894056566,0.803725958,0.796329036,86.06403013
458,0.896729879,0.804591045,0.79678081,86.25235405
459,0.899707079,0.804721251,0.797546864,86.44067797
460,0.903246894,0.804732502,0.797829568,86.62900188
461,0.903893903,0.804776713,0.798315197,86.8173258
462,0.908901878,0.805735528,0.798326105,87.00564972
463,0.910634018,0.806377381,0.798991576,87.19397363
464,0.911520183,0.807249263,0.801106408,87.38229755
465,0.912242778,0.807489946,0.801642045,87.57062147
466,0.913276985,0.808044225,0.802137449,87.75894539
467,0.918763936,0.809640974,0.802532747,87.9472693
468,0.921490341,0.810883448,0.803293735,88.13559322
469,0.92327711,0.810893267,0.803343862,88.32391714
470,0.92495352,0.811103046,0.8042925,88.51224105
471,0.92750825,0.811979234,0.805653468,88.70056497
472,0.931364909,0.812843159,0.805708379,88.88888889
473,0.931447655,0.813100755,0.806924656,89.07721281
474,0.931714185,0.813161641,0.809016272,89.26553672
475,0.932048395,0.813339546,0.809437975,89.45386064
476,0.934692807,0.813552201,0.813016132,89.64218456
477,0.935554981,0.813587055,0.814538732,89.83050847
478,0.938489705,0.815117776,0.815759316,90.01883239
479,0.941012207,0.816636473,0.816592783,90.20715631
480,0.941813715,0.817488804,0.817608401,90.39548023
481,0.942710005,0.819801092,0.81793718,90.58380414
482,0.943187118,0.820840955,0.819541261,90.77212806
483,0.945626799,0.823354155,0.820661262,90.96045198
484,0.946616318,0.823730558,0.821046025,91.14877589
485,0.947109759,0.823748693,0.823211536,91.33709981
486,0.949936461,0.824494451,0.823712617,91.52542373
487,0.95483958,0.825127572,0.823745057,91.71374765
488,0.957414486,0.826002166,0.824209705,91.90207156
489,0.960927155,0.82641767,0.827219024,92.09039548
490,0.96102206,0.827373803,0.827319831,92.2787194
491,0.963138502,0.828049034,0.83052735,92.46704331
492,0.964468546,0.829194188,0.831337854,92.65536723
493,0.964990161,0.829595029,0.831753626,92.84369115
494,0.965590935,0.830603242,0.832903355,93.03201507
495,0.965861749,0.831135347,0.833734423,93.22033898
496,0.96675726,0.831190452,0.836240724,93.4086629
497,0.966951221,0.831289455,0.836440921,93.59698682
498,0.969365122,0.831582353,0.838840082,93.78531073
499,0.970593074,0.834523529,0.840563744,93.97363465
500,0.970881648,0.834631622,0.840921447,94.16195857
501,0.971649665,0.835124224,0.841112703,94.35028249
502,0.97295136,0.835651994,0.842280596,94.5386064
503,0.973138694,0.836154968,0.843165576,94.72693032
504,0.974040093,0.836197779,0.843285367,94.91525424
505,0.974117095,0.836276621,0.846162498,95.10357815
506,0.974835431,0.836409211,0.847249582,95.29190207
507,0.974895526,0.836795479,0.848481327,95.48022599
508,0.975080397,0.83756049,0.850812122,95.66854991
509,0.976823281,0.837918729,0.851522371,95.85687382
510,0.97710187,0.838888034,0.852102503,96.04519774
511,0.977255942,0.845237672,0.85340929,96.23352166
512,0.979258243,0.847917482,0.854645178,96.42184557
513,0.980384104,0.850486353,0.855151623,96.61016949
514,0.980761917,0.854618907,0.856701508,96.79849341
515,0.980914146,0.855484545,0.857162699,96.98681733
516,0.980939897,0.855940416,0.858448908,97.17514124
517,0.980973382,0.857006922,0.859787494,97.36346516
518,0.981068505,0.858338103,0.860151619,97.55178908
519,0.981172087,0.858794942,0.862723663,97.74011299
520,0.981279386,0.860880032,0.863607839,97.92843691
521,0.981752176,0.861426458,0.865161136,98.11676083
522,0.982132733,0.863116652,0.872277543,98.30508475
523,0.982829981,0.864324376,0.873178989,98.49340866
524,0.984009543,0.864357919,0.87339972,98.68173258
525,0.98585454,0.871861532,0.874945119,98.8700565
526,0.986796007,0.872038633,0.875494108,99.05838041
527,0.986865443,0.87532115,0.876733847,99.24670433
528,0.986881508,0.877684623,0.879099265,99.43502825
529,0.987934432,0.892279737,0.884585619,99.62335217
530,0.989917539,0.894753382,0.892381117,99.81167608
531,0.990033001,0.91771701,0.911298133,100
