531,Full Transformer,LSTM,Transformer Encoder,Full Transformer
1,-1.471185446,-0.575818658,-0.812387586,0.188323917
2,-0.126373768,-0.225761056,-0.116138339,0.376647834
3,-0.030737519,-0.210438251,-0.109588742,0.564971751
4,-0.024005175,-0.205723405,-0.097060323,0.753295669
5,-0.006039977,-0.125097632,-0.058678031,0.941619586
6,0.005951703,0.021190763,-5.48E-06,1.129943503
7,0.064990938,0.0599069,0.070291102,1.31826742
8,0.069856882,0.062342405,0.070851147,1.506591337
9,0.081321001,0.077228665,0.075431705,1.694915254
10,0.103281498,0.078647256,0.087961614,1.883239171
11,0.107334673,0.082010746,0.090298235,2.071563089
12,0.110551238,0.091308773,0.104036331,2.259887006
13,0.115668178,0.131115437,0.137829423,2.448210923
14,0.116841316,0.135269046,0.14111799,2.63653484
15,0.11908114,0.188606024,0.181005836,2.824858757
16,0.128735542,0.192344666,0.194109201,3.013182674
17,0.134447038,0.208085001,0.203294516,3.201506591
18,0.139030278,0.211115241,0.203755736,3.389830508
19,0.1530509,0.223646939,0.242629528,3.578154426
20,0.153422654,0.226933897,0.244433045,3.766478343
21,0.15739733,0.23889029,0.259654105,3.95480226
22,0.157797456,0.241861224,0.264109254,4.143126177
23,0.158376694,0.249447823,0.269444644,4.331450094
24,0.160854578,0.302350461,0.27048254,4.519774011
25,0.161476493,0.303455055,0.292265356,4.708097928
26,0.168491244,0.304772496,0.292337537,4.896421846
27,0.168767095,0.307517231,0.294425726,5.084745763
28,0.169046044,0.316719353,0.294545412,5.27306968
29,0.17111963,0.32280165,0.298112988,5.461393597
30,0.175038457,0.326155603,0.30439806,5.649717514
31,0.176020265,0.328927159,0.317534149,5.838041431
32,0.187297821,0.336927772,0.319361091,6.026365348
33,0.187742531,0.339369297,0.319749057,6.214689266
34,0.190743029,0.344562113,0.334291399,6.403013183
35,0.191450834,0.348147929,0.338412464,6.5913371
36,0.192742467,0.357536852,0.346989036,6.779661017
37,0.193347275,0.364123523,0.348484933,6.967984934
38,0.194741249,0.366525829,0.351173162,7.156308851
39,0.195113003,0.380278349,0.359841228,7.344632768
40,0.196076155,0.387742817,0.359897196,7.532956685
41,0.202507019,0.388752222,0.363191068,7.721280603
42,0.203576148,0.391702771,0.363205314,7.90960452
43,0.204008579,0.391818285,0.366993904,8.097928437
