basin,1,2,4,8
1139000,0.640722781,0.404383838,0.570150495,0.521615922
1139800,0.680371583,0.571883172,0.520113051,0.60537374
1142500,0.656820357,0.473284304,0.592537493,0.57734865
1144000,0.68019858,0.636145264,0.556727439,0.528976917
1162500,0.815342695,0.769235089,0.716280013,0.763456836
1169000,0.534652293,0.362077236,0.241566122,0.313480318
1170100,0.551300168,0.421671987,0.458377898,0.327294409
1181000,0.506008208,0.320511162,-0.10804069,0.29871583
1187300,0.381980538,-0.147370815,0.128743291,0.316574097
1195100,0.417712986,0.277132511,-0.087321639,0.211638153
1333000,0.581681043,-0.264571071,0.570179224,0.494224608
1350000,0.394869447,0.285976231,0.289501011,0.22665298
1350080,0.500540048,0.309327185,0.302130401,0.42041713
1350140,0.531911284,0.246560752,0.115996599,0.302419186
1365000,0.518718958,0.442959785,0.164542258,0.309605718
1411300,0.684192032,0.661225557,0.592987597,0.662395418
1413500,0.554295748,0.381341875,0.454751313,0.466434062
1414500,0.447394192,0.317594945,0.357633233,0.421919644
1415000,0.575282663,0.498067558,0.516015738,0.482569516
3010655,0.70363453,0.472929597,0.398907006,0.665431529
3011800,0.6354267,0.23413384,0.330301762,0.34912008
3015500,0.690573931,0.264689386,0.343493938,0.549339354
3021350,0.473994911,-0.199578762,-0.201566458,-0.02568996
3026500,0.558139205,0.352288187,0.352770686,0.186540961
3028000,0.625095636,0.414395332,0.390544772,0.424999833
3049000,0.497183204,0.146851122,0.222761571,0.173228502
3049800,0.405381382,0.163081944,-0.175298095,0.334811449
3050000,0.461995125,0.037685156,0.151662409,0.154496849
3069500,0.452365816,0.362210035,0.230916083,0.291822851
3070500,0.554237604,0.325652063,0.021344543,0.226225436
3076600,0.656873554,0.465083539,0.328432441,0.333758473
3078000,0.549059987,0.389758289,0.226564765,0.399268687
3140000,0.392390609,0.238392234,0.013001144,0.145739496
3144000,0.352383792,0.266977131,0.261287034,0.227806568
4074950,0.949403387,0.950274397,0.951210797,0.94556788
4105700,0.850872964,0.329306841,0.844538748,0.831131861
4115265,0.584936351,-0.19928503,0.552060127,0.502859533
