basin,NSE
1139000,0.535246581
1139800,0.566659987
1142500,0.596151561
1144000,0.575276881
1162500,0.683793068
1169000,0.439019322
1170100,0.398320913
1181000,0.396770298
1187300,0.305971265
1195100,0.262454808
1333000,0.536965102
1350000,0.341575205
1350080,0.412468016
1350140,0.512296557
1365000,0.487421513
1411300,0.548403412
1413500,0.503766567
1414500,0.481504023
1415000,0.534274369
3010655,0.682447255
3011800,0.579617471
3015500,0.611791223
3021350,0.454103649
3026500,0.515512705
3028000,0.57620272
3049000,0.523040444
3049800,0.342671096
3050000,0.431578159
3069500,0.417490482
3070500,0.503749013
3076600,0.643054426
3078000,0.521955371
3140000,0.329609752
3144000,0.271750808
4074950,0.71592918
4105700,0.133760631
4115265,0.184151769
4122200,0.519601524
4122500,0.641560823
4127918,0.709953487
4127997,0.055794477
4161580,0.685010403
4185000,0.781916976
4196800,0.241861045
4197100,0.182707608
4197170,-0.042894244
4213000,0.489097714
4213075,0.212963998
4216418,0.406646371
4221000,0.456271946
4224775,0.436613917
4233000,0.459039032
4256000,0.605485529
4296000,0.7427589
8101000,0.01923418
8103900,-7.339866638
8104900,-4.995460033
8109700,0.45444268
8150800,-0.096631408
8158700,-3.822968483
8158810,-0.693303585
8164300,0.26676929
8164600,0.281317651
8165300,-1.506308317
8171300,-2.081519365
8175000,0.471201479
8176900,-0.957178831
8178880,-4.042963505
8189500,0.058483601
8190000,-142.3912659
8190500,-0.080745101
8194200,-0.24016118
8195000,-2.701647758
8196000,-0.735212803
8198500,-3.369861126
8200000,-0.956910253
8202700,-3.511592388
8267500,0.903877355
8269000,0.819910705
8271000,0.915691078
8324000,0.515263885
9081600,0.864807948
9107000,0.907451555
9210500,0.774746954
9223000,0.904477663
9306242,-0.178838968
9312600,0.827072605
9497980,-3.045798779
9505350,0.233537912
9505800,0.325672865
9508300,-0.594651818
9510200,-2.448437691
9512280,-2.192549706
9513780,0.041864753
10234500,0.8318526
10244950,0.737086266
10336645,0.772998422
10336660,0.559988081
10343500,0.685364783
12010000,0.503185689
,-1.491664285
