basin,NSE
1139000,0.612185836
1139800,0.63073352
1142500,0.620459527
1144000,0.629614443
1162500,0.720957607
1169000,0.262512207
1170100,0.484788477
1181000,0.436256409
1187300,0.242805123
1195100,0.328900874
1333000,0.67009142
1350000,0.327518165
1350080,0.410261333
1350140,0.446885645
1365000,0.490673959
1411300,0.626001418
1413500,0.459109783
1414500,0.33054179
1415000,0.487473905
3010655,0.651005924
3011800,0.592124164
3015500,0.587057114
3021350,0.324916005
3026500,0.474450469
3028000,0.603408664
3049000,0.448563755
3049800,0.414382875
3050000,0.359394789
3069500,0.23684603
3070500,0.041671097
3076600,0.624413878
3078000,0.499377489
3140000,0.183242917
3144000,0.290537596
4074950,0.949078001
4105700,0.850826696
4115265,0.561149955
4122200,0.911174946
4122500,0.945554011
4127918,0.77858834
4127997,0.667610794
4161580,0.85127908
4185000,0.859866783
4196800,0.63623485
4197100,0.130296409
4197170,-0.127560854
4213000,0.463597
4213075,-0.052798748
4216418,0.287979722
4221000,0.424154639
4224775,0.332346678
4233000,0.363777757
4256000,0.646998167
4296000,0.793687284
8101000,0.04662925
8103900,0.009894133
8104900,-1.216377974
8109700,0.075702727
8150800,-0.025667548
8158700,0.116615772
8158810,-0.077516437
8164300,0.076547384
8164600,0.338531911
8165300,0.014960706
8171300,0.158694029
8175000,0.446320176
8176900,0.027877271
8178880,0.060736239
8189500,0.118623972
8190000,-0.038152456
8190500,0.010074973
8194200,-6.447607517
8195000,-0.012949467
8196000,0.034679711
8198500,0.110853076
8200000,0.125633836
8202700,-0.038597941
8267500,0.982079467
8269000,0.901372008
8271000,0.974614849
8324000,0.933131061
9081600,0.972473452
9107000,0.960440625
9210500,0.971210908
9223000,0.956770316
9306242,0.939439442
9312600,0.990142427
9497980,-0.176116467
9505350,0.043819845
9505800,0.197668314
9508300,0.055297911
9510200,-0.652165055
9512280,-0.461079836
9513780,0.06351006
10234500,0.967964467
10244950,0.990822927
10336645,0.791858673
10336660,0.624916703
10343500,0.675550282
12010000,0.561542571
,0.340037765
