basin,NSE
1139000,-0.088277936
1139800,-0.129798055
1142500,-0.083684087
1144000,-0.088529348
1162500,-0.089182496
1169000,-0.111128449
1170100,-0.112782001
1181000,-0.107747436
1187300,-0.081748962
1195100,-0.057243943
1333000,-0.119093418
1350000,-0.053538322
1350080,-0.023798823
1350140,-0.017678261
1365000,-0.184837222
1411300,-0.03948319
1413500,-0.078748345
1414500,-0.10578835
1415000,-0.061066628
3010655,-0.038066506
3011800,-0.137535095
3015500,-0.102094293
3021350,-0.092570186
3026500,-0.088001013
3028000,-0.124732733
3049000,-0.012090325
3049800,-0.001123667
3050000,-0.068561554
3069500,-0.132251859
3070500,-0.112642884
3076600,-0.092216253
3078000,-0.101581573
3140000,-0.011556268
3144000,-0.000156641
4074950,-0.066146374
4105700,-0.020140886
4115265,-0.198733091
4122200,-0.003010273
4122500,-0.017674685
4127918,-0.000336647
4127997,-0.062125325
4161580,-0.55656898
4185000,-0.012383461
4196800,-0.010610223
4197100,-0.009685636
4197170,-0.003693223
4213000,-0.03439796
4213075,-0.017988801
4216418,-0.016441703
4221000,-0.012565136
4224775,-0.002019644
4233000,-0.004722953
4256000,-0.174883842
4296000,-0.081450582
8101000,-0.012847066
8103900,-0.034373164
8104900,-0.031141758
8109700,-0.015454173
8150800,-0.000533581
8158700,-0.047876716
8158810,-0.03187716
8164300,-0.018643856
8164600,-0.018750429
8165300,-0.012945175
8171300,-0.030632257
8175000,-0.00944376
8176900,-0.004361153
8178880,-0.047063231
8189500,-0.006825805
8190000,-0.014743805
8190500,-0.002873302
8194200,-0.089964747
8195000,-0.034959435
8196000,-0.014999509
8198500,-0.001366138
8200000,-0.02095437
8202700,-0.003431082
8267500,-0.530106187
8269000,-0.223511457
8271000,-0.61635232
8324000,-0.046427965
9081600,-0.410796881
9107000,-0.44359684
9210500,-0.277145386
9223000,-0.190431833
9306242,-0.571396589
9312600,-0.081035614
9497980,-0.005123138
9505350,-0.010648966
9505800,-0.011129618
9508300,-0.010888696
9510200,-0.003499031
9512280,-0.000143886
9513780,-0.001991868
10234500,-0.354857206
10244950,-0.70125854
10336645,-0.245034337
10336660,-0.232280612
10343500,-0.167731881
12010000,-0.312898159
,-0.100092642
