basin,NSE
1139000,0.605848372
1139800,0.574232131
1142500,0.578722984
1144000,0.597721219
1162500,0.802326813
1169000,0.341556132
1170100,0.476677358
1181000,0.421277046
1187300,0.266566098
1195100,0.147603571
1333000,0.38299638
1350000,0.280183792
1350080,0.267609417
1350140,0.251479983
1365000,0.470600426
1411300,0.609715492
1413500,0.44321239
1414500,0.392953157
1415000,0.440648496
3010655,0.664652288
3011800,0.395569682
3015500,0.435162425
3021350,-0.116226554
3026500,0.3644104
3028000,0.442976475
3049000,0.380663455
3049800,0.071060598
3050000,0.262790859
3069500,0.295557439
3070500,0.313494742
3076600,0.405370593
3078000,0.333115458
3140000,0.155905187
3144000,0.269484699
4074950,0.949588999
4105700,0.762027115
4115265,0.50241524
4122200,0.906107441
4122500,0.949923415
4127918,0.70699802
4127997,0.640164673
4161580,0.830531433
4185000,0.894764908
4196800,0.683712482
4197100,0.563363254
4197170,-0.080607653
4213000,0.266316116
4213075,0.063036025
4216418,0.138076842
4221000,0.457851708
4224775,0.178181827
4233000,0.137004852
4256000,0.602297544
4296000,0.749232173
8101000,0.039530694
8103900,-0.400202513
8104900,0.212902129
8109700,0.241993964
8150800,-1.084004402
8158700,0.308938086
8158810,0.316747844
8164300,0.281942844
8164600,0.410542607
8165300,-1.776264191
8171300,0.060864866
8175000,0.451250911
8176900,0.235333502
8178880,-1.425193071
8189500,0.540275544
8190000,0.011386275
8190500,0.037136734
8194200,-0.3036834
8195000,-0.309533
8196000,0.056541204
8198500,-0.884856701
8200000,-6.292517662
8202700,-3.265902519
8267500,0.981395736
8269000,0.970727334
8271000,0.981454765
8324000,0.929064579
9081600,0.977350898
9107000,0.979724236
9210500,0.975698264
9223000,0.961756144
9306242,0.94000119
9312600,0.99091253
9497980,-0.044791818
9505350,-2.122145891
9505800,0.206675887
9508300,0.0166049
9510200,-0.126449704
9512280,0.077821434
9513780,0.155860424
10234500,0.97074464
10244950,0.993175894
10336645,0.814171627
10336660,0.616607368
10343500,0.685530245
12010000,0.564889044
,0.238869149
